"Season","Name","Team","G","PA","HR","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","WAR","Age","BB","SO","playerid"
"2016","David Ortiz","Red Sox","151","626","38","79","2","12.8 %","13.7 %",".305",".312",".315",".401",".620",".419","164","4.5","40","80","86","745"
"2007","Albert Pujols","Cardinals","158","679","32","99","2","14.6 %","8.5 %",".241",".317",".327",".429",".568",".419","155","7.7","27","99","58","1177"
"2002","Vladimir Guerrero","Expos","161","709","39","106","40","11.8 %","9.9 %",".257",".327",".336",".417",".593",".419","155","7.1","27","84","70","778"
"2007","Chase Utley","Phillies","132","613","22","104","9","8.2 %","14.5 %",".234",".362",".332",".410",".566",".419","150","7.7","28","50","89","1679"
"2007","Prince Fielder","Brewers","158","681","50","109","2","13.2 %","17.8 %",".330",".283",".288",".395",".618",".419","153","4.7","23","90","121","4613"
"1988","Jose Canseco","Athletics","158","705","42","120","40","11.1 %","18.2 %",".262",".325",".307",".391",".569",".419","169","7.6","23","78","128","1001918"
"2010","Albert Pujols","Cardinals","159","700","42","115","14","14.7 %","10.9 %",".284",".297",".312",".414",".596",".419","164","6.8","30","103","76","1177"
"1990","Cecil Fielder","Tigers","159","673","51","104","0","13.4 %","27.0 %",".314",".313",".277",".377",".592",".419","165","6.5","26","90","182","1004026"
"1969","Roberto Clemente","Pirates","138","570","19","87","4","9.8 %","12.8 %",".199",".372",".345",".411",".544",".418","163","7.0","34","56","73","1002340"
"1998","Andres Galarraga","Braves","153","648","44","103","7","9.7 %","22.5 %",".290",".338",".305",".397",".595",".418","156","5.0","37","63","146","1390"
"2005","David Ortiz","Red Sox","159","713","47","119","1","14.3 %","17.4 %",".304",".303",".300",".397",".604",".418","157","5.3","29","102","124","745"
"2016","Mike Trout","Angels","159","681","29","123","30","17.0 %","20.1 %",".235",".371",".315",".441",".550",".418","170","9.6","24","116","137","10155"
"1999","Jason Giambi","Athletics","158","695","33","115","1","15.1 %","15.3 %",".238",".333",".315",".422",".553",".418","150","5.2","28","105","106","818"
"1996","Juan Gonzalez","Rangers","134","592","47","89","2","7.6 %","13.9 %",".329",".296",".314",".368",".643",".418","141","3.5","26","45","82","1251"
"2000","Edgardo Alfonzo","Mets","150","650","25","109","3","14.6 %","10.8 %",".219",".332",".324",".425",".542",".418","150","6.4","26","95","70","859"
"2009","Joey Votto","Reds","131","544","25","82","4","12.9 %","19.5 %",".245",".372",".322",".414",".567",".418","155","4.6","25","70","106","4314"
"2006","Jermaine Dye","White Sox","146","611","44","103","7","9.7 %","19.3 %",".306",".328",".315",".385",".622",".418","151","3.0","32","59","118","911"
"1997","Mo Vaughn","Red Sox","141","628","35","91","2","13.7 %","24.5 %",".245",".384",".315",".420",".560",".418","150","4.0","29","86","154","899"
"2007","Jorge Posada","Yankees","144","589","20","91","2","12.6 %","16.6 %",".206",".386",".338",".426",".543",".418","157","5.6","35","74","98","841"
"2004","Travis Hafner","Indians","140","576","28","96","3","11.8 %","19.3 %",".272",".350",".311",".410",".583",".418","158","4.7","27","68","111","1573"
"1997","Andres Galarraga","Rockies","154","674","41","120","15","8.0 %","20.9 %",".267",".356",".318",".389",".585",".418","131","3.1","36","54","141","1390"
"2015","Paul Goldschmidt","Diamondbacks","159","695","33","103","21","17.0 %","21.7 %",".249",".382",".321",".435",".570",".418","163","7.2","27","118","151","9218"
"2001","Gary Sheffield","Dodgers","143","618","36","98","10","15.2 %","10.8 %",".272",".297",".311",".417",".583",".418","159","4.6","32","94","67","114"
"1987","Eric Davis","Reds","129","562","37","120","50","14.9 %","23.8 %",".300",".333",".293",".399",".593",".417","154","7.1","25","84","134","1003048"
"2003","Jim Edmonds","Cardinals","137","531","39","89","1","14.5 %","23.9 %",".342",".297",".275",".385",".617",".417","156","6.3","33","77","127","1153"
"2012","Miguel Cabrera","Tigers","161","697","44","109","4","9.5 %","14.1 %",".277",".331",".330",".393",".606",".417","166","7.2","29","66","98","1744"
"1974","Mike Schmidt","Phillies","162","686","36","108","23","15.5 %","20.1 %",".264",".311",".282",".395",".546",".417","157","9.4","24","106","138","1011586"
"1999","John Jaha","Athletics","142","570","35","93","2","17.7 %","22.6 %",".280",".307",".276",".414",".556",".417","149","4.1","33","101","129","1006336"
"1974","Joe Morgan","Reds","149","641","22","107","58","18.7 %","10.8 %",".201",".300",".293",".427",".494",".417","162","8.6","30","120","69","1009179"
"2008","Lance Berkman","Astros","159","665","29","114","18","14.9 %","16.2 %",".255",".341",".312",".420",".567",".417","156","7.7","32","99","108","548"
"2010","Paul Konerko","White Sox","149","631","39","89","0","11.4 %","17.4 %",".272",".326",".312",".393",".584",".417","158","3.5","34","72","110","242"
"1996","Barry Larkin","Reds","152","627","33","117","36","15.3 %","8.3 %",".269",".276",".298",".410",".567",".417","157","6.8","32","96","52","335"
"2004","Manny Ramirez","Red Sox","152","663","43","108","2","12.4 %","18.7 %",".305",".324",".308",".397",".613",".417","153","3.3","32","82","124","210"
"2003","Alex Rodriguez","Rangers","161","715","47","124","17","12.2 %","17.6 %",".301",".305",".298",".396",".600",".416","151","9.2","27","87","126","1274"
"1989","Will Clark","Giants","159","675","23","104","8","11.0 %","15.3 %",".213",".368",".333",".407",".546",".416","174","8.1","25","74","103","1002318"
"1995","Reggie Sanders","Reds","133","567","28","91","36","12.2 %","21.5 %",".273",".353",".306",".397",".579",".416","154","6.6","27","69","122","1129"
"1999","Bernie Williams","Yankees","158","697","25","116","9","14.3 %","13.6 %",".195",".372",".342",".435",".536",".416","149","4.9","30","100","95","857"
"1996","Mike Piazza","Dodgers","148","631","36","87","0","12.8 %","14.7 %",".227",".352",".336",".422",".563",".416","165","6.6","27","81","93","893"
"2005","Todd Helton","Rockies","144","626","20","92","3","16.9 %","12.8 %",".214",".349",".320",".445",".534",".416","145","4.1","31","106","80","432"
"1995","Dante Bichette","Rockies","139","612","40","102","13","3.6 %","15.7 %",".280",".349",".340",".364",".620",".416","131","1.8","31","22","96","1000946"
"1986","Don Mattingly","Yankees","162","742","31","117","0","7.1 %","4.7 %",".222",".333",".352",".394",".573",".416","160","7.2","25","53","35","1008261"
"1983","Wade Boggs","Red Sox","153","685","5","100","3","13.4 %","5.3 %",".125",".374",".361",".444",".486",".416","155","7.7","25","92","36","1001124"
"1974","Willie Stargell","Pirates","140","605","25","90","0","14.4 %","17.5 %",".236",".336",".301",".407",".537",".416","161","6.0","34","87","106","1012426"
"1969","Pete Rose","Reds","156","728","16","120","7","12.1 %","8.9 %",".164",".366",".348",".428",".512",".416","154","6.1","28","88","65","1011217"
"2002","Sammy Sosa","Cubs","150","666","49","122","2","15.5 %","21.6 %",".306",".302",".288",".399",".594",".416","157","5.1","33","103","144","302"
"1970","Boog Powell","Orioles","154","643","35","82","1","16.2 %","12.4 %",".253",".289",".297",".412",".549",".415","160","5.7","28","104","80","1010482"
"2006","Miguel Cabrera","Marlins","158","676","26","112","9","12.7 %","16.0 %",".229",".379",".339",".430",".568",".415","153","6.3","23","86","108","1744"
"1974","Dick Allen","White Sox","128","525","32","84","7","10.9 %","17.0 %",".262",".309",".301",".375",".563",".415","163","4.2","32","57","89","1000137"
"1999","Todd Helton","Rockies","159","657","35","114","7","10.4 %","11.7 %",".266",".319",".320",".395",".587",".415","123","3.0","25","68","77","432"
"2002","Magglio Ordonez","White Sox","153","654","38","116","7","8.1 %","11.8 %",".276",".316",".320",".381",".597",".415","155","4.5","28","53","77","248"
"1996","Bobby Higginson","Tigers","130","515","26","75","6","12.6 %","12.8 %",".257",".325",".320",".404",".577",".415","141","3.6","25","65","66","469"
"2002","Mike Sweeney","Royals","126","545","24","81","9","11.2 %","8.4 %",".223",".333",".340",".417",".563",".415","151","4.5","28","61","46","634"
"2001","Manny Ramirez","Red Sox","142","620","41","93","0","13.1 %","23.7 %",".302",".353",".306",".405",".609",".415","156","5.2","29","81","147","210"
"1985","Wade Boggs","Red Sox","161","758","8","107","2","12.7 %","8.0 %",".110",".396",".368",".450",".478",".415","156","8.8","27","96","61","1001124"
"1977","Mike Schmidt","Phillies","154","667","38","114","15","15.6 %","18.3 %",".300",".282",".274",".393",".574",".415","155","9.2","27","104","122","1011586"
"2015","Mike Trout","Angels","159","682","41","104","11","13.5 %","23.2 %",".290",".344",".299",".402",".590",".415","171","9.3","23","92","158","10155"
"1982","Robin Yount","Brewers","156","704","29","129","14","7.7 %","8.9 %",".247",".327",".331",".379",".578",".415","164","9.8","26","54","63","1014396"
"1970","Dick Dietz","Giants","148","612","22","82","0","17.8 %","17.3 %",".215",".341",".300",".426",".515",".415","152","5.1","28","109","106","1003290"
"1969","Dick Allen","Phillies","118","506","32","79","9","12.6 %","28.5 %",".285",".353",".288",".375",".573",".415","160","3.7","27","64","144","1000137"
"2008","Carlos Quentin","White Sox","130","569","36","96","7","11.6 %","14.1 %",".283",".278",".288",".394",".571",".415","152","4.7","25","66","80","6274"
"2000","Will Clark","- - -","130","507","21","78","5","13.6 %","13.6 %",".227",".337",".319",".418",".546",".415","146","3.8","36","69","69","1002318"
"1998","Moises Alou","Astros","159","679","38","104","11","12.4 %","12.8 %",".271",".310",".312",".399",".582",".415","158","6.8","31","84","87","261"
"1986","Wade Boggs","Red Sox","149","693","8","107","0","15.2 %","6.3 %",".129",".374",".357",".453",".486",".414","153","7.7","28","105","44","1001124"
"2017","Charlie Blackmon","Rockies","159","725","37","137","14","9.0 %","18.6 %",".270",".371",".331",".399",".601",".414","141","6.5","30","65","135","7859"
"2002","Jim Edmonds","Cardinals","144","576","28","96","4","14.9 %","23.3 %",".250",".375",".311",".420",".561",".414","157","6.7","32","86","134","1153"
"1987","Dale Murphy","Braves","159","693","44","115","16","16.6 %","19.6 %",".284",".315",".295",".417",".580",".414","150","7.1","31","115","136","1009355"
"1998","Juan Gonzalez","Rangers","154","669","45","110","2","6.9 %","18.8 %",".312",".332",".318",".366",".630",".414","145","4.9","28","46","126","1251"
"1977","Jim Rice","Red Sox","160","710","39","104","5","7.5 %","16.9 %",".273",".341",".320",".376",".593",".414","151","5.0","24","53","120","1010897"
"1977","Ken Singleton","Orioles","152","651","24","90","0","16.4 %","15.5 %",".179",".365",".328",".438",".507",".414","166","5.6","30","107","101","1012011"
"1999","Sammy Sosa","Cubs","162","712","63","114","7","11.0 %","24.0 %",".347",".295",".288",".367",".635",".414","143","5.3","30","78","171","302"
"1995","Larry Walker","Rockies","131","562","36","96","16","8.7 %","12.8 %",".302",".294",".306",".381",".607",".414","129","4.6","28","49","72","455"
"1969","Boog Powell","Orioles","152","615","37","83","1","11.7 %","12.4 %",".255",".292",".304",".383",".559",".414","159","6.4","27","72","76","1010482"
"1998","Eric Davis","Orioles","131","508","28","81","7","8.7 %","21.3 %",".254",".372",".327",".388",".582",".414","151","3.2","36","44","108","1003048"
"1968","Carl Yastrzemski","Red Sox","157","664","23","90","13","17.9 %","13.6 %",".195",".323",".301",".426",".495",".414","170","9.3","28","119","90","1014326"
"2000","Bobby Abreu","Phillies","154","680","25","103","28","14.7 %","17.1 %",".238",".358",".316",".416",".554",".413","143","6.9","26","100","116","945"
