"Season","Name","Team","G","PA","HR","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","WAR","Age","BB","SO","playerid"
"1997","Derek Bell","Astros","129","547","15","67","15","7.3 %","17.2 %",".162",".313",".276",".344",".438",".344","110","2.9","28","40","94","1000801"
"2010","Curtis Granderson","Yankees","136","528","24","76","12","10.0 %","22.0 %",".221",".277",".247",".324",".468",".344","110","3.9","29","53","116","4747"
"1986","Ray Knight","Mets","137","541","11","51","2","7.4 %","11.6 %",".126",".319",".298",".351",".424",".344","120","2.7","33","40","63","1007043"
"2011","Asdrubal Cabrera","Indians","151","667","25","87","17","6.6 %","17.8 %",".187",".302",".273",".332",".460",".344","119","3.6","25","44","119","4962"
"1982","Lou Whitaker","Tigers","152","619","15","76","11","7.8 %","9.4 %",".148",".295",".286",".341",".434",".344","112","4.8","25","48","58","1013846"
"1992","Delino DeShields","Expos","135","599","7","82","46","9.0 %","18.0 %",".106",".354",".292",".359",".398",".344","119","3.5","23","54","108","275"
"2012","Nori Aoki","Brewers","151","588","10","81","30","7.3 %","9.4 %",".144",".304",".288",".355",".433",".344","113","2.5","30","43","55","13075"
"1986","Chili Davis","Giants","153","618","13","71","16","13.6 %","15.5 %",".139",".315",".278",".375",".416",".344","119","3.9","26","84","96","1003041"
"1979","Butch Hobson","Red Sox","146","570","28","74","3","5.3 %","13.7 %",".235",".257",".261",".298",".496",".344","102","1.8","27","30","78","1005872"
"2016","Adam Eaton","White Sox","157","706","14","91","14","8.9 %","16.3 %",".144",".329",".284",".362",".428",".344","117","5.8","27","63","115","11205"
"2008","Cristian Guzman","Nationals","138","612","9","77","6","3.8 %","9.3 %",".124",".337",".316",".345",".440",".344","106","2.8","30","23","57","728"
"1992","Steve Finley","Astros","162","686","5","84","44","8.5 %","9.2 %",".115",".318",".292",".355",".407",".344","121","5.4","27","58","63","54"
"1977","Wayne Gross","Athletics","146","582","22","66","5","14.8 %","14.4 %",".184",".238",".233",".352",".416",".344","116","2.1","25","86","84","1005091"
"2017","Elvis Andrus","Rangers","158","689","20","100","25","5.5 %","14.7 %",".174",".325",".297",".337",".471",".344","110","4.3","28","38","101","8709"
"1975","Chris Chambliss","Yankees","150","603","9","66","0","4.8 %","8.3 %",".130",".318",".304",".336",".434",".344","115","3.0","26","29","50","1002119"
"1992","Craig Biggio","Astros","162","721","6","96","38","13.0 %","13.2 %",".091",".319",".277",".378",".369",".344","121","3.9","26","94","95","549"
"1969","Joe Morgan","Astros","147","657","15","94","49","16.7 %","11.3 %",".136",".247",".236",".365",".372",".344","116","3.5","25","110","74","1009179"
"1977","Rusty Staub","Tigers","158","695","22","84","1","8.5 %","6.8 %",".170",".268",".278",".336",".448",".343","109","1.4","33","59","47","1012440"
"1991","Steve Buechele","- - -","152","600","22","74","0","8.2 %","16.2 %",".177",".283",".262",".331",".440",".343","114","3.7","29","49","97","1001630"
"1993","Sammy Sosa","Cubs","159","641","33","92","36","5.9 %","21.1 %",".224",".285",".261",".309",".485",".343","107","4.6","24","38","135","302"
"2009","Adam Jones","Orioles","119","519","19","83","10","6.9 %","17.9 %",".180",".308",".277",".335",".457",".343","103","1.5","23","36","93","6368"
"1974","Dwight Evans","Red Sox","133","514","10","60","4","7.4 %","15.0 %",".140",".315",".281",".335",".421",".343","110","3.9","22","38","77","1003865"
"2014","Jhonny Peralta","Cardinals","157","628","21","61","3","9.2 %","17.8 %",".180",".292",".263",".336",".443",".343","120","4.6","32","58","112","1738"
"2007","Adrian Beltre","Mariners","149","639","26","87","14","5.9 %","16.3 %",".207",".294",".276",".319",".482",".343","110","2.9","28","38","104","639"
"1984","Lou Whitaker","Tigers","143","629","13","90","6","9.9 %","10.0 %",".118",".304",".289",".357",".407",".343","114","3.8","27","62","63","1013846"
"2002","Jermaine Dye","Athletics","131","555","24","74","2","9.4 %","19.5 %",".207",".274",".252",".333",".459",".343","111","0.2","28","52","108","911"
"2005","Jorge Cantu","Devil Rays","150","631","28","73","1","3.0 %","13.2 %",".211",".289",".286",".311",".497",".343","112","1.1","23","19","83","2521"
"1995","Jeff Kent","Mets","125","514","20","65","3","5.6 %","17.3 %",".186",".302",".278",".327",".464",".343","108","2.8","27","29","89","1119"
"1977","Cecil Cooper","Brewers","160","679","20","86","13","4.1 %","16.2 %",".163",".333",".300",".326",".463",".343","111","2.5","27","28","110","1002592"
"1989","Brook Jacoby","Indians","147","592","13","49","2","10.5 %","15.2 %",".145",".302",".272",".348",".416",".343","114","3.4","29","62","90","1006318"
"2000","Eric Young","Cubs","153","690","6","98","54","9.1 %","5.7 %",".102",".307",".297",".367",".399",".343","100","3.6","33","63","39","716"
"2005","Carl Crawford","Devil Rays","156","687","15","101","46","3.9 %","12.2 %",".168",".325",".301",".331",".469",".343","112","4.8","23","27","84","1201"
"2011","Edwin Encarnacion","Blue Jays","134","530","17","70","8","8.1 %","14.5 %",".181",".292",".272",".334",".453",".343","113","0.7","28","43","77","2151"
"2007","Ty Wigginton","- - -","148","604","22","71","3","6.8 %","18.7 %",".181",".310",".278",".333",".459",".343","107","1.0","29","41","113","1491"
"2009","Jorge Cantu","Marlins","149","643","16","67","3","7.3 %","12.6 %",".154",".310",".289",".345",".443",".343","106","1.0","27","47","81","2521"
"2010","Derrek Lee","- - -","148","626","19","80","1","11.7 %","21.4 %",".168",".309",".260",".347",".428",".343","109","1.4","34","73","134","525"
"2016","Bryce Harper","Nationals","147","627","24","84","21","17.2 %","18.7 %",".198",".264",".243",".373",".441",".343","112","3.0","23","108","117","11579"
"1977","Bill Madlock","Giants","140","585","12","70","13","7.4 %","5.6 %",".124",".304",".302",".360",".426",".343","110","1.2","26","43","33","1007957"
"2010","Omar Infante","Braves","134","506","8","65","7","5.7 %","12.3 %",".096",".355",".321",".359",".416",".343","111","2.0","28","29","62","1609"
"2009","David DeJesus","Royals","144","627","13","74","4","8.1 %","13.9 %",".152",".311",".281",".347",".434",".343","105","3.6","29","51","87","1825"
"1970","Manny Sanguillen","Pirates","128","510","7","63","2","3.3 %","8.8 %",".119",".343",".325",".344",".444",".343","107","3.8","26","17","45","1011434"
"2005","Ryan Klesko","Padres","137","520","18","61","3","14.4 %","15.4 %",".169",".266",".248",".358",".418",".343","115","1.5","34","75","80","1041"
"1986","Doug DeCinces","Angels","140","572","26","69","2","9.1 %","12.9 %",".203",".252",".256",".325",".459",".343","112","2.7","35","52","74","1003123"
"1986","Pete Incaviglia","Rangers","153","606","30","82","3","9.1 %","30.5 %",".213",".316",".250",".320",".463",".343","108","0.6","22","55","185","1006257"
"2011","Eric Hosmer","Royals","128","563","19","66","11","6.0 %","14.6 %",".172",".314",".293",".334",".465",".343","113","1.0","21","34","82","3516"
"1974","Eric Soderholm","Twins","141","526","10","63","7","9.1 %","12.9 %",".116",".304",".276",".349",".392",".343","114","3.1","25","48","68","1012260"
"2010","Marlon Byrd","Cubs","152","630","12","84","5","4.9 %","15.6 %",".136",".335",".293",".346",".429",".343","108","4.0","32","31","98","950"
"2001","Ray Durham","White Sox","152","691","20","104","23","9.3 %","15.9 %",".200",".294",".267",".337",".466",".343","108","3.9","29","64","110","230"
"2005","Ray Durham","Giants","142","560","12","67","6","8.6 %","10.5 %",".139",".305",".290",".356",".429",".343","107","2.8","33","48","59","230"
"2007","Brian Giles","Padres","121","552","13","72","4","11.6 %","11.1 %",".145",".288",".271",".361",".416",".343","112","1.0","36","64","61","990"
"2003","Jose Cruz","Giants","158","650","20","90","5","15.7 %","18.6 %",".163",".284",".250",".366",".414",".343","108","3.2","29","102","121","1296"
"1983","Terry Puhl","Astros","137","512","8","66","24","7.0 %","9.4 %",".135",".310",".292",".343",".428",".343","121","3.1","26","36","48","1010562"
"2000","Omar Vizquel","Indians","156","717","7","101","22","12.1 %","10.0 %",".088",".314",".287",".377",".375",".343","96","2.5","33","87","72","411"
"1992","Darryl Hamilton","Brewers","128","528","5","67","41","8.5 %","8.0 %",".102",".314",".298",".356",".400",".343","114","2.8","27","45","42","1005272"
"1998","Devon White","Diamondbacks","146","627","22","84","22","6.7 %","16.3 %",".178",".303",".279",".335",".456",".343","103","3.7","35","42","102","1013862"
"1990","Junior Felix","Blue Jays","127","517","15","73","13","8.7 %","19.1 %",".177",".302",".263",".328",".441",".343","114","1.6","22","45","99","1003974"
"1977","Garry Templeton","Cardinals","153","644","8","94","28","2.3 %","10.9 %",".127",".350",".322",".336",".449",".343","108","2.9","21","15","70","1012909"
"2008","Alex Gordon","Royals","134","571","16","72","9","11.6 %","21.0 %",".172",".309",".260",".351",".432",".343","106","2.6","24","66","120","5209"
"1972","Carl Yastrzemski","Red Sox","125","535","12","70","5","12.5 %","8.2 %",".127",".265",".264",".357",".391",".343","119","2.4","32","67","44","1014326"
"2007","Aaron Hill","Blue Jays","160","657","17","87","4","6.2 %","15.5 %",".168",".324",".291",".333",".459",".343","107","3.4","25","41","102","6104"
"1977","Darrell Evans","Giants","144","539","17","64","9","12.8 %","9.3 %",".163",".251",".254",".351",".416",".343","110","1.8","30","69","50","1003864"
"1979","Willie Wilson","Royals","154","640","6","113","83","4.4 %","14.4 %",".105",".362",".315",".351",".420",".343","107","5.8","23","28","92","1014113"
"1969","Cesar Tovar","Twins","158","591","11","99","45","6.3 %","6.3 %",".127",".292",".288",".342",".415",".343","109","4.1","28","37","37","1013142"
"1985","Lloyd Moseby","Blue Jays","152","670","18","92","37","11.3 %","13.6 %",".168",".277",".259",".345",".426",".343","109","3.5","25","76","91","1009238"
"2001","Raul Mondesi","Blue Jays","149","653","27","88","30","11.2 %","19.6 %",".201",".279",".252",".342",".453",".343","107","1.8","30","73","128","1314"
"1989","Chili Davis","Angels","154","630","22","81","3","9.7 %","17.3 %",".164",".299",".271",".340",".436",".343","117","3.0","29","61","109","1003041"
"2008","Paul Konerko","White Sox","122","514","22","59","2","12.6 %","15.6 %",".199",".244",".240",".344",".438",".343","104","0.4","32","65","80","242"
"1998","Chuck Knoblauch","Yankees","150","706","17","117","31","10.8 %","9.9 %",".139",".273",".265",".361",".405",".343","105","2.7","29","76","70","609"
"1997","Stan Javier","Giants","142","510","8","69","25","11.0 %","13.7 %",".109",".320",".286",".368",".395",".343","108","3.7","33","56","70","1006372"
"2013","Jacoby Ellsbury","Red Sox","134","636","9","92","52","7.4 %","14.5 %",".128",".341",".298",".355",".426",".343","112","4.6","29","47","92","4727"
"1991","Greg Vaughn","Brewers","145","614","27","81","2","10.1 %","20.4 %",".212",".264",".244",".319",".456",".343","114","2.4","25","62","125","1233"
"1983","Gary Carter","Expos","145","609","17","63","1","8.4 %","9.4 %",".174",".272",".270",".336",".444",".343","117","6.8","29","51","57","1002015"
"2005","Carlos Lee","Brewers","162","688","32","85","13","8.3 %","12.6 %",".222",".259",".265",".324",".487",".343","106","1.8","29","57","87","243"
"1999","Damion Easley","Tigers","151","627","20","83","11","8.1 %","19.8 %",".168",".307",".266",".346",".434",".343","98","1.7","29","51","124","464"
"1969","Ken Harrelson","- - -","159","672","30","89","17","14.7 %","15.2 %",".198",".216",".221",".336",".419",".343","108","1.4","27","99","102","1005389"
"1973","Johnny Bench","Reds","152","651","25","83","4","12.7 %","12.7 %",".176",".253",".253",".345",".429",".343","115","4.9","25","83","83","1000826"
"2015","Christian Yelich","Marlins","126","525","7","63","16","9.0 %","19.2 %",".116",".370",".300",".366",".416",".343","120","2.4","23","47","101","11477"
"2003","Raul Ibanez","Royals","157","671","18","95","8","7.3 %","12.1 %",".160",".310",".294",".345",".454",".343","103","2.0","31","49","81","607"
"2017","Matt Joyce","Athletics","141","544","25","78","4","12.1 %","20.8 %",".230",".263",".243",".335",".473",".343","116","2.6","32","66","113","3353"
"1968","Dick McAuliffe","Tigers","151","658","16","95","8","12.5 %","15.0 %",".161",".275",".249",".344",".411",".343","127","5.2","28","82","99","1008331"
"1987","Bill Doran","Astros","162","719","16","82","31","11.4 %","8.9 %",".123",".292",".283",".365",".406",".343","111","4.2","29","82","64","1003406"
"1969","Denis Menke","Astros","154","657","10","72","2","13.2 %","13.2 %",".118",".301",".269",".369",".387",".343","116","2.6","28","87","87","1008766"
"1977","Buddy Bell","Indians","129","538","11","64","1","8.4 %","11.7 %",".134",".315",".292",".351",".426",".343","112","3.4","25","45","63","1000799"
"1999","Carlos Beltran","Royals","156","723","22","112","27","6.4 %","17.0 %",".161",".326",".293",".337",".454",".343","95","4.3","22","46","123","589"
"1998","John Valentin","Red Sox","153","681","23","113","4","11.3 %","12.0 %",".196",".250",".247",".340",".442",".343","101","4.5","31","77","82","1375"
"1999","Homer Bush","Blue Jays","128","523","5","69","32","4.0 %","15.7 %",".101",".374",".320",".353",".421",".343","97","2.8","26","21","82","1425"
"2005","Preston Wilson","- - -","139","576","25","73","6","7.8 %","25.7 %",".208",".314",".260",".325",".467",".343","103","0.7","30","45","148","545"
"2010","Raul Ibanez","Phillies","155","636","16","75","4","10.7 %","17.0 %",".169",".311",".275",".349",".444",".343","110","1.2","38","68","108","607"
"2016","Mike Napoli","Indians","150","645","34","92","5","12.1 %","30.1 %",".226",".296",".239",".335",".465",".343","113","0.8","34","78","194","3057"
"1974","Dave Winfield","Padres","145","544","20","57","9","7.4 %","17.6 %",".173",".289",".265",".318",".438",".343","116","2.0","22","40","96","1014127"
"1970","Don Mincher","Athletics","140","533","27","62","5","10.5 %","13.3 %",".214",".234",".246",".327",".460",".343","115","2.2","32","56","71","1008973"
"2000","B.J. Surhoff","- - -","147","587","14","69","10","7.0 %","9.9 %",".152",".305",".291",".344",".443",".343","101","2.4","35","41","58","117"
"1980","John Castino","Twins","150","599","13","67","7","4.8 %","11.2 %",".128",".324",".302",".336",".430",".343","107","3.8","25","29","67","1002062"
"1988","Rob Deer","Brewers","135","556","23","71","9","9.2 %","27.5 %",".189",".315",".252",".328",".441",".343","114","2.5","27","51","153","1003137"
"1996","Walt Weiss","Rockies","155","624","8","89","10","12.8 %","12.5 %",".093",".316",".282",".381",".375",".342","83","0.5","32","80","78","1013748"
"2009","Dexter Fowler","Rockies","135","518","4","73","27","12.9 %","22.4 %",".141",".351",".266",".363",".406",".342","97","0.7","23","67","116","4062"
"2016","Anthony Rendon","Nationals","156","647","20","91","12","10.0 %","18.1 %",".180",".304",".270",".348",".450",".342","111","4.4","26","65","117","12861"
"2012","Freddie Freeman","Braves","147","620","23","91","2","10.3 %","20.8 %",".196",".295",".259",".340",".456",".342","115","1.7","22","64","129","5361"
"2010","Hunter Pence","Astros","156","658","25","93","18","6.2 %","16.0 %",".179",".304",".282",".325",".461",".342","111","2.7","27","41","105","8252"
"1974","Jerry Morales","Cubs","151","590","15","70","2","7.8 %","10.7 %",".150",".284",".273",".330",".423",".342","104","-0.9","25","46","63","1009138"
"1978","Mike Hargrove","Rangers","146","616","7","63","2","17.4 %","7.6 %",".095",".262",".251",".388",".346",".342","113","1.9","28","107","47","1005361"
"2011","Gaby Sanchez","Marlins","159","661","19","72","3","11.2 %","14.7 %",".161",".287",".266",".352",".427",".342","114","2.7","27","74","97","3361"
"2000","Luis Alicea","Rangers","139","619","6","85","1","9.5 %","12.1 %",".109",".328",".294",".365",".404",".342","93","0.6","34","59","75","584"
"2016","Melky Cabrera","White Sox","151","646","14","70","2","7.3 %","10.7 %",".159",".314",".296",".345",".455",".342","116","2.1","31","47","69","4022"
"2009","Jack Cust","Athletics","149","612","25","88","4","15.2 %","30.2 %",".177",".319",".240",".356",".417",".342","108","0.6","30","93","185","1564"
"1996","Moises Alou","Expos","143","598","21","87","9","8.2 %","13.9 %",".176",".296",".281",".339",".457",".342","107","2.0","29","49","83","261"
"2009","David Ortiz","Red Sox","150","627","28","77","0","11.8 %","21.4 %",".224",".262",".238",".332",".462",".342","100","0.3","33","74","134","745"
"1985","Chet Lemon","Tigers","145","575","18","69","0","7.8 %","16.2 %",".174",".291",".265",".334",".439",".342","114","3.7","30","45","93","1007518"
"1970","Willie Davis","Dodgers","146","637","8","92","38","4.6 %","8.5 %",".133",".322",".305",".335",".438",".342","111","4.4","30","29","54","1003088"
"2006","Paul Lo Duca","Mets","124","551","5","80","3","4.4 %","6.9 %",".109",".335",".318",".355",".428",".342","105","2.5","34","24","38","662"
"1974","Dusty Baker","Braves","149","656","20","80","18","10.8 %","13.3 %",".166",".268",".256",".335",".422",".342","105","3.6","25","71","87","1000450"
"1977","Bump Wills","Rangers","152","617","9","87","28","10.5 %","15.6 %",".124",".332",".287",".361",".410",".342","111","4.7","24","65","96","1014049"
"2004","Alfonso Soriano","Rangers","145","658","28","77","18","5.0 %","18.4 %",".204",".305",".280",".324",".484",".342","98","2.2","28","33","121","847"
"2006","Brian Giles","Padres","158","717","14","87","9","14.5 %","8.4 %",".134",".272",".263",".374",".397",".342","111","3.0","35","104","60","990"
"2015","Todd Frazier","Reds","157","678","35","82","13","6.5 %","20.2 %",".242",".271",".255",".309",".498",".342","116","4.3","29","44","137","785"
"1982","Harold Baines","White Sox","161","668","25","89","10","7.3 %","14.2 %",".197",".282",".271",".321",".469",".342","109","2.8","23","49","95","1000434"
"2003","Hideki Matsui","Yankees","163","695","16","82","2","9.1 %","12.4 %",".148",".309",".287",".353",".435",".342","109","0.2","29","63","86","1659"
"2013","Will Venable","Padres","151","515","22","64","22","5.6 %","22.9 %",".216",".313",".268",".312",".484",".342","122","2.6","30","29","118","211"
"2003","Jacque Jones","Twins","136","548","16","76","13","3.8 %","19.2 %",".161",".352",".304",".333",".464",".342","107","1.8","28","21","105","735"
"1977","Chris Chambliss","Yankees","157","653","17","90","4","6.9 %","11.2 %",".158",".301",".287",".336",".445",".342","114","2.7","28","45","73","1002119"
"2004","Placido Polanco","Phillies","126","555","17","74","7","4.9 %","7.0 %",".143",".294",".298",".345",".441",".342","102","2.1","28","27","39","1176"
"2000","Mike Bordick","- - -","156","644","20","88","9","7.6 %","15.4 %",".158",".311",".285",".341",".443",".342","101","2.0","34","49","99","129"
"2000","Derek Bell","Mets","144","622","18","87","8","10.5 %","20.1 %",".159",".313",".266",".348",".425",".342","102","1.4","31","65","125","1000801"
"2009","Cody Ross","Marlins","151","604","24","73","5","5.6 %","20.2 %",".199",".306",".270",".321",".469",".342","105","1.6","28","34","122","1760"
"2005","Kevin Mench","Rangers","150","615","25","71","4","8.1 %","11.1 %",".205",".261",".264",".328",".469",".342","105","2.7","27","50","68","1261"
"2000","Wil Cordero","- - -","127","536","16","64","1","6.0 %","14.2 %",".188",".299",".276",".328",".464",".342","96","-0.9","28","32","76","770"
"1994","Travis Fryman","Tigers","114","528","18","66","2","8.5 %","24.2 %",".211",".314",".263",".326",".474",".342","101","1.9","25","45","128","385"
"1973","Wayne Garrett","Mets","140","589","16","76","6","12.2 %","12.6 %",".147",".271",".256",".348",".403",".342","114","4.0","25","72","74","1004547"
"1976","Jose Cardenal","Cubs","136","560","8","64","23","5.7 %","7.0 %",".102",".310",".299",".339",".401",".342","105","1.3","32","32","39","1001937"
"1989","Jerry Browne","Indians","153","685","5","83","14","9.9 %","9.3 %",".090",".326",".299",".370",".390",".342","113","3.8","23","68","64","1001525"
"1988","Kelly Gruber","Blue Jays","158","623","16","75","23","6.1 %","14.8 %",".160",".305",".278",".328",".438",".342","113","5.3","26","38","92","1005107"
"1983","Ken Landreaux","Dodgers","141","524","17","63","30","6.5 %","9.9 %",".170",".283",".281",".328",".451",".342","117","2.9","28","34","52","1007303"
"2014","Luis Valbuena","Cubs","149","547","16","68","1","11.9 %","20.7 %",".186",".294",".249",".341",".435",".342","118","3.2","28","65","113","4969"
"2012","Alex Rodriguez","Yankees","122","529","18","74","13","9.6 %","21.9 %",".158",".323",".272",".353",".430",".342","113","2.4","36","51","116","1274"
"1986","Frank White","Royals","151","620","22","76","4","6.9 %","14.2 %",".193",".285",".272",".322",".465",".342","109","4.3","35","43","88","1013872"
"2000","Terrence Long","Athletics","138","631","18","104","5","6.8 %","12.2 %",".164",".305",".288",".336",".452",".342","100","1.8","24","43","77","927"
"1979","Greg Luzinski","Phillies","137","525","18","47","3","10.7 %","19.6 %",".175",".284",".252",".343",".427",".342","108","-0.3","28","56","103","1007855"
"1980","Tony Perez","Red Sox","151","635","25","73","1","6.5 %","14.6 %",".191",".286",".275",".320",".467",".342","104","0.9","38","41","93","1010188"
"1987","Jack Howell","Angels","138","511","23","64","4","11.2 %","23.1 %",".216",".281",".245",".331",".461",".342","109","2.4","25","57","118","1006099"
"1969","Johnny Callison","Phillies","134","552","16","66","2","8.9 %","13.2 %",".176",".280",".265",".332",".440",".342","112","2.7","30","49","73","1001851"
"1976","George Scott","Brewers","156","671","18","73","0","7.9 %","17.7 %",".140",".311",".274",".334",".414",".342","118","3.4","32","53","119","1011682"
"2017","David Peralta","Diamondbacks","140","577","14","82","8","7.5 %","16.3 %",".150",".333",".293",".352",".444",".342","104","1.8","29","43","94","2136"
"1978","Larry Parrish","Expos","144","560","15","68","2","5.7 %","18.4 %",".177",".320",".277",".321",".454",".342","115","2.8","24","32","103","1010020"
"1977","Steve Kemp","Tigers","151","636","18","75","3","11.2 %","14.6 %",".165",".277",".257",".343",".422",".342","108","1.4","22","71","93","1006827"
"1970","Bert Campaneris","Athletics","147","650","22","97","42","5.5 %","11.2 %",".169",".285",".279",".321",".448",".342","114","5.6","28","36","73","1001868"
"2008","Jimmy Rollins","Phillies","137","625","11","76","47","9.3 %","8.8 %",".160",".290",".277",".349",".437",".342","104","5.0","29","58","55","971"
"1986","Scott Fletcher","Rangers","147","594","3","82","12","7.9 %","9.9 %",".100",".331",".300",".360",".400",".342","107","4.1","27","47","59","1004155"
"1982","Ben Oglivie","Brewers","159","677","34","92","3","10.3 %","12.0 %",".209",".232",".244",".326",".453",".342","116","3.1","33","70","81","1009746"
"1976","Lee May","Orioles","148","583","25","61","4","7.0 %","17.8 %",".189",".275",".258",".312",".447",".342","126","2.7","33","41","104","1008303"
"2016","Danny Valencia","Athletics","130","517","17","72","1","7.9 %","22.2 %",".159",".346",".287",".346",".446",".342","116","1.4","31","41","115","6364"
"1979","Joe Morgan","Reds","127","538","9","70","28","17.3 %","8.4 %",".126",".258",".250",".379",".376",".342","110","2.6","35","93","45","1009179"
"1988","Wally Joyner","Angels","158","663","13","81","8","8.3 %","7.7 %",".124",".302",".295",".356",".419",".342","116","3.1","26","55","51","1006637"
"2016","Yadier Molina","Cardinals","147","581","8","56","3","6.7 %","10.8 %",".120",".335",".307",".360",".427",".342","114","2.6","33","39","63","7007"
"2013","Kendrys Morales","Mariners","156","657","23","64","0","7.5 %","17.4 %",".171",".309",".277",".336",".449",".342","119","1.2","30","49","114","8610"
"1997","Eric Karros","Dodgers","162","700","31","86","15","8.7 %","16.6 %",".193",".278",".266",".329",".459",".342","110","1.5","29","61","116","659"
"1979","Bobby Murcer","- - -","132","525","15","64","3","11.6 %","9.9 %",".139",".271",".267",".354",".405",".342","106","1.4","33","61","52","1009338"
"2017","DJ LeMahieu","Rockies","155","682","8","95","6","8.7 %","13.2 %",".099",".351",".310",".374",".409",".342","94","1.9","28","59","90","9874"
"1991","Mike Greenwell","Red Sox","147","598","9","76","15","7.2 %","5.9 %",".119",".304",".300",".350",".419",".342","106","1.8","27","43","35","1005006"
"1975","Carlos May","White Sox","128","534","8","55","12","12.5 %","8.2 %",".104",".283",".271",".373",".374",".342","110","0.7","27","67","44","1008291"
"1974","Charlie Spikes","Indians","155","612","22","63","10","5.6 %","16.3 %",".160",".294",".271",".319",".431",".342","115","1.5","23","34","100","1012341"
"2005","Craig Biggio","Astros","155","651","26","94","11","5.7 %","13.8 %",".203",".273",".264",".325",".468",".342","106","2.7","39","37","90","549"
"1995","Brett Butler","- - -","129","596","1","78","32","11.2 %","8.6 %",".076",".328",".300",".377",".376",".342","108","0.9","38","67","51","1001772"
"1983","Ken Oberkfell","Cardinals","151","557","3","62","12","11.0 %","4.8 %",".092",".304",".293",".371",".385",".342","115","3.1","27","61","27","1009677"
"1992","Jay Buhner","Mariners","152","629","25","69","0","11.3 %","23.2 %",".179",".282",".243",".333",".422",".342","112","0.3","27","71","146","1001638"
"1985","Steve Balboni","Royals","160","662","36","74","1","7.9 %","25.1 %",".233",".273",".243",".307",".477",".342","110","1.2","28","52","166","1000473"
"2006","Geoff Jenkins","Brewers","147","555","17","62","4","10.1 %","23.2 %",".163",".333",".271",".357",".434",".342","103","1.3","31","56","129","690"
"1974","Rusty Staub","Mets","151","649","19","65","2","11.9 %","6.0 %",".148",".247",".258",".347",".406",".342","114","0.8","30","77","39","1012440"
"1997","Rondell White","Expos","151","638","28","84","16","4.9 %","17.4 %",".208",".289",".270",".316",".478",".341","103","4.7","25","31","111","856"
"1986","Lou Whitaker","Tigers","144","651","20","95","13","9.7 %","10.8 %",".168",".275",".269",".338",".437",".341","112","4.5","29","63","70","1013846"
"2008","Yunel Escobar","Braves","136","587","10","71","2","10.1 %","10.6 %",".113",".311",".288",".366",".401",".341","106","2.8","25","59","62","4191"
"1997","B.J. Surhoff","Orioles","147","595","18","80","1","8.2 %","10.1 %",".174",".287",".284",".345",".458",".341","104","3.0","32","49","60","117"
"1989","Steve Sax","Yankees","158","717","5","88","43","7.3 %","6.1 %",".072",".329",".315",".364",".387",".341","114","4.3","29","52","44","1011481"
"2016","Wil Myers","Padres","157","676","28","99","28","10.1 %","23.7 %",".202",".305",".259",".336",".461",".341","116","3.7","25","68","160","10047"
"2014","Denard Span","Nationals","147","668","5","94","31","7.5 %","9.7 %",".115",".330",".302",".355",".416",".341","117","4.2","30","50","65","8347"
"2012","Jon Jay","Cardinals","117","502","4","70","19","6.8 %","14.1 %",".095",".355",".305",".373",".400",".341","115","2.9","27","34","71","5227"
"2007","Akinori Iwamura","Devil Rays","123","559","7","82","12","10.4 %","20.4 %",".126",".355",".285",".359",".411",".341","107","3.1","28","58","114","7781"
"2003","Ichiro Suzuki","Mariners","159","725","13","111","34","5.0 %","9.5 %",".124",".333",".312",".352",".436",".341","112","5.7","29","36","69","1101"
"2004","Jack Wilson","Pirates","157","693","11","82","8","3.8 %","10.2 %",".150",".330",".308",".335",".459",".341","103","4.3","26","26","71","1017"
"2014","Kole Calhoun","Angels","127","537","17","90","5","7.1 %","19.4 %",".178",".313",".272",".325",".450",".341","124","3.4","26","38","104","11200"
"1970","Lee May","Reds","153","649","34","78","1","5.9 %","19.3 %",".231",".264",".253",".297",".484",".341","108","2.5","27","38","125","1008303"
"1996","Gary Gaetti","Cardinals","141","574","23","71","2","6.1 %","16.9 %",".199",".295",".274",".326",".473",".341","106","2.1","37","35","97","1004422"
"2006","Chad Tracy","Diamondbacks","154","662","20","91","5","8.2 %","19.5 %",".169",".327",".281",".343",".451",".341","98","1.8","26","54","129","1888"
"2003","Bernie Williams","Yankees","119","521","15","77","5","13.6 %","11.7 %",".148",".275",".263",".367",".411",".341","108","0.0","34","71","61","857"
"2002","Todd Zeile","Rockies","144","580","18","61","1","11.4 %","15.9 %",".152",".298",".273",".353",".425",".341","89","-0.3","36","66","92","457"
"2012","A.J. Ellis","Dodgers","133","505","13","44","0","12.9 %","21.2 %",".144",".329",".270",".373",".414",".341","117","3.5","31","65","107","5677"
"2010","Adam LaRoche","Diamondbacks","151","615","25","75","0","7.8 %","28.0 %",".207",".330",".261",".320",".468",".341","104","0.8","30","48","172","1904"
"1989","Barry Bonds","Pirates","159","679","19","96","32","13.7 %","13.7 %",".178",".265",".248",".351",".426",".341","121","7.1","24","93","93","1109"
"1971","Manny Sanguillen","Pirates","138","557","7","60","6","3.4 %","5.7 %",".107",".329",".319",".345",".426",".341","117","5.0","27","19","32","1011434"
"1974","John Ellis","Indians","128","513","10","58","1","6.2 %","10.3 %",".136",".303",".285",".330",".421",".341","114","2.1","25","32","53","1003750"
